"MJD","Year","Month","Day","YY.MMDD","X","timestamp","LOD[msec]","sigma_LOD[msec]"
37938,1962,10,1,62.1001,273,1962-10-01,1.205,1.4
37939,1962,10,2,62.1002,274,1962-10-02,1.148,1.4
37940,1962,10,3,62.1003,275,1962-10-03,1.077,1.4
37941,1962,10,4,62.1004,276,1962-10-04,1.008,1.4
37942,1962,10,5,62.1005,277,1962-10-05,0.97,1.4
37943,1962,10,6,62.1006,278,1962-10-06,0.969,1.4
37944,1962,10,7,62.1007,279,1962-10-07,1.03,1.4
37945,1962,10,8,62.1008,280,1962-10-08,1.159,1.4
37946,1962,10,9,62.1009,281,1962-10-09,1.355,1.4
37947,1962,10,10,62.1010,282,1962-10-10,1.602,1.4
37948,1962,10,11,62.1011,283,1962-10-11,1.864,1.4
37949,1962,10,12,62.1012,284,1962-10-12,2.072,1.4
37950,1962,10,13,62.1013,285,1962-10-13,2.175,1.4
37951,1962,10,14,62.1014,286,1962-10-14,2.15,1.4
37952,1962,10,15,62.1015,287,1962-10-15,2.01,1.4
37953,1962,10,16,62.1016,288,1962-10-16,1.825,1.4
37954,1962,10,17,62.1017,289,1962-10-17,1.646,1.4
37955,1962,10,18,62.1018,290,1962-10-18,1.529,1.4
37956,1962,10,19,62.1019,291,1962-10-19,1.464,1.4
37957,1962,10,20,62.1020,292,1962-10-20,1.471,1.4
37958,1962,10,21,62.1021,293,1962-10-21,1.522,1.4
37959,1962,10,22,62.1022,294,1962-10-22,1.618,1.4
37960,1962,10,23,62.1023,295,1962-10-23,1.719,1.4
37961,1962,10,24,62.1024,296,1962-10-24,1.808,1.4
37962,1962,10,25,62.1025,297,1962-10-25,1.881,1.4
37963,1962,10,26,62.1026,298,1962-10-26,1.918,1.4
37964,1962,10,27,62.1027,299,1962-10-27,1.911,1.4
37965,1962,10,28,62.1028,300,1962-10-28,1.871,1.4
37966,1962,10,29,62.1029,301,1962-10-29,1.799,1.4
37967,1962,10,30,62.1030,302,1962-10-30,1.705,1.4
37968,1962,10,31,62.1031,303,1962-10-31,1.595,1.4
37969,1962,11,1,62.1101,304,1962-11-01,1.479,1.4
37970,1962,11,2,62.1102,305,1962-11-02,1.406,1.4
37971,1962,11,3,62.1103,306,1962-11-03,1.393,1.4
37972,1962,11,4,62.1104,307,1962-11-04,1.441,1.4
37973,1962,11,5,62.1105,308,1962-11-05,1.552,1.4
37974,1962,11,6,62.1106,309,1962-11-06,1.717,1.4
37975,1962,11,7,62.1107,310,1962-11-07,1.909,1.4
37976,1962,11,8,62.1108,311,1962-11-08,2.092,1.4
37977,1962,11,9,62.1109,312,1962-11-09,2.205,1.4
37978,1962,11,10,62.1110,313,1962-11-10,2.22,1.4
37979,1962,11,11,62.1111,314,1962-11-11,2.12,1.4
37980,1962,11,12,62.1112,315,1962-11-12,1.944,1.4
37981,1962,11,13,62.1113,316,1962-11-13,1.727,1.4
37982,1962,11,14,62.1114,317,1962-11-14,1.536,1.4
37983,1962,11,15,62.1115,318,1962-11-15,1.409,1.4
37984,1962,11,16,62.1116,319,1962-11-16,1.356,1.4
37985,1962,11,17,62.1117,320,1962-11-17,1.357,1.4
37986,1962,11,18,62.1118,321,1962-11-18,1.411,1.4
37987,1962,11,19,62.1119,322,1962-11-19,1.487,1.4
37988,1962,11,20,62.1120,323,1962-11-20,1.566,1.4
37989,1962,11,21,62.1121,324,1962-11-21,1.623,1.4
37990,1962,11,22,62.1122,325,1962-11-22,1.667,1.4
37991,1962,11,23,62.1123,326,1962-11-23,1.68,1.4
37992,1962,11,24,62.1124,327,1962-11-24,1.669,1.4
37993,1962,11,25,62.1125,328,1962-11-25,1.627,1.4
37994,1962,11,26,62.1126,329,1962-11-26,1.57,1.4
37995,1962,11,27,62.1127,330,1962-11-27,1.5,1.4
37996,1962,11,28,62.1128,331,1962-11-28,1.423,1.4
37997,1962,11,29,62.1129,332,1962-11-29,1.383,1.4
37998,1962,11,30,62.1130,333,1962-11-30,1.378,1.4
37999,1962,12,1,62.1201,334,1962-12-01,1.433,1.4
38000,1962,12,2,62.1202,335,1962-12-02,1.56,1.4
38001,1962,12,3,62.1203,336,1962-12-03,1.727,1.4
38002,1962,12,4,62.1204,337,1962-12-04,1.921,1.4
38003,1962,12,5,62.1205,338,1962-12-05,2.109,1.4
38004,1962,12,6,62.1206,339,1962-12-06,2.253,1.4
38005,1962,12,7,62.1207,340,1962-12-07,2.317,1.4
38006,1962,12,8,62.1208,341,1962-12-08,2.272,1.4
38007,1962,12,9,62.1209,342,1962-12-09,2.139,1.4
38008,1962,12,10,62.1210,343,1962-12-10,1.943,1.4
38009,1962,12,11,62.1211,344,1962-12-11,1.755,1.4
38010,1962,12,12,62.1212,345,1962-12-12,1.601,1.4
38011,1962,12,13,62.1213,346,1962-12-13,1.515,1.4
38012,1962,12,14,62.1214,347,1962-12-14,1.488,1.4
38013,1962,12,15,62.1215,348,1962-12-15,1.511,1.4
38014,1962,12,16,62.1216,349,1962-12-16,1.543,1.4
38015,1962,12,17,62.1217,350,1962-12-17,1.593,1.4
38016,1962,12,18,62.1218,351,1962-12-18,1.634,1.4
38017,1962,12,19,62.1219,352,1962-12-19,1.653,1.4
38018,1962,12,20,62.1220,353,1962-12-20,1.643,1.4
38019,1962,12,21,62.1221,354,1962-12-21,1.6,1.4
38020,1962,12,22,62.1222,355,1962-12-22,1.516,1.4
38021,1962,12,23,62.1223,356,1962-12-23,1.417,1.4
38022,1962,12,24,62.1224,357,1962-12-24,1.304,1.4
38023,1962,12,25,62.1225,358,1962-12-25,1.188,1.4
38024,1962,12,26,62.1226,359,1962-12-26,1.079,1.4
38025,1962,12,27,62.1227,360,1962-12-27,1.019,1.4
38026,1962,12,28,62.1228,361,1962-12-28,1.016,1.4
38027,1962,12,29,62.1229,362,1962-12-29,1.078,1.4
38028,1962,12,30,62.1230,363,1962-12-30,1.196,1.4
38029,1962,12,31,62.1231,364,1962-12-31,1.341,1.4
38030,1963,1,1,63.0101,365,1963-01-01,1.478,1.4
38031,1963,1,2,63.0102,366,1963-01-02,1.582,1.4
38032,1963,1,3,63.0103,367,1963-01-03,1.614,1.4
38033,1963,1,4,63.0104,368,1963-01-04,1.572,1.4
38034,1963,1,5,63.0105,369,1963-01-05,1.453,1.4
38035,1963,1,6,63.0106,370,1963-01-06,1.28,1.4
38036,1963,1,7,63.0107,371,1963-01-07,1.094,1.4
38037,1963,1,8,63.0108,372,1963-01-08,0.936,1.4
38038,1963,1,9,63.0109,373,1963-01-09,0.837,1.4
38039,1963,1,10,63.0110,374,1963-01-10,0.805,1.4
38040,1963,1,11,63.0111,375,1963-01-11,0.841,1.4
38041,1963,1,12,63.0112,376,1963-01-12,0.902,1.4
38042,1963,1,13,63.0113,377,1963-01-13,0.966,1.4
38043,1963,1,14,63.0114,378,1963-01-14,1.034,1.4
38044,1963,1,15,63.0115,379,1963-01-15,1.071,1.4
38045,1963,1,16,63.0116,380,1963-01-16,1.078,1.4
38046,1963,1,17,63.0117,381,1963-01-17,1.052,1.4
38047,1963,1,18,63.0118,382,1963-01-18,0.992,1.4
38048,1963,1,19,63.0119,383,1963-01-19,0.907,1.4
38049,1963,1,20,63.0120,384,1963-01-20,0.807,1.4
38050,1963,1,21,63.0121,385,1963-01-21,0.705,1.4
38051,1963,1,22,63.0122,386,1963-01-22,0.623,1.4
38052,1963,1,23,63.0123,387,1963-01-23,0.572,1.4
38053,1963,1,24,63.0124,388,1963-01-24,0.573,1.4
38054,1963,1,25,63.0125,389,1963-01-25,0.652,1.4
38055,1963,1,26,63.0126,390,1963-01-26,0.796,1.4
38056,1963,1,27,63.0127,391,1963-01-27,0.983,1.4
38057,1963,1,28,63.0128,392,1963-01-28,1.18,1.4
38058,1963,1,29,63.0129,393,1963-01-29,1.33,1.4
38059,1963,1,30,63.0130,394,1963-01-30,1.409,1.4
38060,1963,1,31,63.0131,395,1963-01-31,1.403,1.4
38061,1963,2,1,63.0201,396,1963-02-01,1.306,1.4
38062,1963,2,2,63.0202,397,1963-02-02,1.166,1.4
38063,1963,2,3,63.0203,398,1963-02-03,1.004,1.4
38064,1963,2,4,63.0204,399,1963-02-04,0.886,1.4
38065,1963,2,5,63.0205,400,1963-02-05,0.823,1.4
38066,1963,2,6,63.0206,401,1963-02-06,0.806,1.4
38067,1963,2,7,63.0207,402,1963-02-07,0.861,1.4
38068,1963,2,8,63.0208,403,1963-02-08,0.95,1.4
38069,1963,2,9,63.0209,404,1963-02-09,1.069,1.4
38070,1963,2,10,63.0210,405,1963-02-10,1.176,1.4
38071,1963,2,11,63.0211,406,1963-02-11,1.264,1.4
38072,1963,2,12,63.0212,407,1963-02-12,1.313,1.4
38073,1963,2,13,63.0213,408,1963-02-13,1.326,1.4
38074,1963,2,14,63.0214,409,1963-02-14,1.303,1.4
38075,1963,2,15,63.0215,410,1963-02-15,1.239,1.4
38076,1963,2,16,63.0216,411,1963-02-16,1.167,1.4
38077,1963,2,17,63.0217,412,1963-02-17,1.081,1.4
38078,1963,2,18,63.0218,413,1963-02-18,1.004,1.4
38079,1963,2,19,63.0219,414,1963-02-19,0.954,1.4
38080,1963,2,20,63.0220,415,1963-02-20,0.937,1.4
38081,1963,2,21,63.0221,416,1963-02-21,1.003,1.4
38082,1963,2,22,63.0222,417,1963-02-22,1.143,1.4
38083,1963,2,23,63.0223,418,1963-02-23,1.346,1.4
38084,1963,2,24,63.0224,419,1963-02-24,1.584,1.4
38085,1963,2,25,63.0225,420,1963-02-25,1.794,1.4
38086,1963,2,26,63.0226,421,1963-02-26,1.912,1.4
38087,1963,2,27,63.0227,422,1963-02-27,1.936,1.4
38088,1963,2,28,63.0228,423,1963-02-28,1.843,1.4
38089,1963,3,1,63.0301,424,1963-03-01,1.687,1.4
38090,1963,3,2,63.0302,425,1963-03-02,1.497,1.4
38091,1963,3,3,63.0303,426,1963-03-03,1.341,1.4
38092,1963,3,4,63.0304,427,1963-03-04,1.231,1.4
38093,1963,3,5,63.0305,428,1963-03-05,1.191,1.4
